dominant_topic,topic_label,dominant_topic_probability,theme_bucket,videoTitle,text_clean
1,city_comparison_weather_and_lifestyle,0.9844113144626949,city_comparison,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,"From Perth & have visited both places many times for holiday trips & work trips. Much prefer Sydney for just about everything but mostly the iconic views. Both are way too busy (& expensive) to ever live there. Most travellers don't understand the average Sydney local lives way out from CBD in the burbs travelling long distances if they work in the CBD. The best places to live in NSW for lifestyle are not in Sydney which is basically a tourist mecca. I'll take Perth any day over either for living f/time & lifestyle as a local. We are only minutes from the beach and our large house (with pool on a 1,250m2 block ) would cost ""many millions"" for same location to beach if it were in Sydney"
1,city_comparison_weather_and_lifestyle,0.9821821226865058,cost_housing,Why Melbourne Feels Different Than Sydney,"​@louisaklimentos7583I live in Melbourne and have for most of my life except for earlier years in Perth, and just one year in Sydney. I see the beauty in all these cities. . But Melburnians don't really get the beach culture like Perth & Sydney people do though. In Perth you're up at 6am on a hot day, catching waves. A lot of socialising revolves around the beach. Similar energy in Sydney. The bay is NOT the same as the ocean it's not as clean and refreshing to swim in. But further out of the city, Mornington Peninsula and Great Ocean Rd there are real beaches but you can't just be at a pristine beach within 15 minutes of the city . However Melbourne is still my favourite city to live for the culture and people. When I retire I will move to a beach area though!."
1,city_comparison_weather_and_lifestyle,0.978475015494079,living_experience,Should you live in Melbourne? | Pros and cons of living in Melbourne,"On the beaches - Greater Melbourne offers awesome beaches and I've been snorkelling here for almost 2 years now, i.e., Ricketts Point, Half Moon Bay, the beaches of the Mornington Peninsula, etc. These beaches are only 15 minutes to an hour's drive from the CBD and sure, the waters are cold, especially in the autumn and winter months, but I love the sea life and diversity here. I guess it also depends on people's preferences, i.e., tanning, picnicking, amenities, and the like. But if that's the case, most of the beaches from the CBD to the east and to the west (extending outside Greater Melbourne) have tons of these to offer as well."
1,city_comparison_weather_and_lifestyle,0.9773813904284612,city_comparison,Sydney and Melbourne Compared,"Sydney is really only humid in late Summer thru Feb. Most of the rain is tropical so it will bucket down for a day or two or even a week but have many more sunny days. It is protected by the Blue Mountains on the west from too much desert heat while cooled by ocean breezes through most of the summer. I can’t stand the humidity in feb but for 8-9 months it has some of the best weather in the world. Temperate sun tropical, blue skies and ocean breezes. Similar to California but slightly more humid. Melb gets too hot with no breeze in summer. Too cold in winter and too unpredictable throughout. No comparison."
1,city_comparison_weather_and_lifestyle,0.9772626735793023,other,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,"@johannavanklaveren66 Perth no. The Swan rivers water colour is not as nice as Sydneys (especially east of harbour bridge) and the surrounding landscape is pretty flat and boring. Perth however does have better beaches than Sydney though, however there is little variety in there beaches. Sydneys beaches range from small coves to massive expanses. Sydneys cliffs are pretty stunning as well. Now Hobart is more interesting and has a lot of potential, but Sydney again beats it because of surrounding landscape. Additionally the vegetation in Sydney looks semi tropical and more lush while Hobarts can look bleak."
1,city_comparison_weather_and_lifestyle,0.9771482686916377,cost_housing,Why Melbourne Feels Different Than Sydney,"​@anEyePhilHi mate, most don't realize the details. Melbourne didn't gain anything. It should have always included Melton (when compared to other states equal equivalents) Melbourne has been larger than Sydney for a long time. However in 2026 even without Melton (which isn't consistent as Sydney would have areas taken out then) sorry as I was saying Melbournes growth has exceed Sydneys for almost 2 years and continues a larger growth per annum that Sydney (2.1% 2.6%..3.1% for 2026) World Population Review Australia Cities by Population 2026 5 Most Populated Australia Cities Australia Flag Melbourne (Melton has 49,000) 5,464,920 Australia Flag Sydney 5,312,640 Australia Flag Brisbane 2,599,740 Australia Flag Perth 2,195,090 Australia Flag Adelaide 1,407,600"
2,public_transport_and_rail_infrastructure,0.9958690020117666,transport_infrastructure,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),"Point 7 cannot be stressed enough - it is key: speed and frequency of express-running medium-distance trains but also what it allows you to do. Sydney developed quad (4 tracks) all way out into middle and outer suburbs early on (up to St Marys on T1; up to Hurstville on T4; up to Revesby on T8; up to Rhodes plus another section from West Ryde to Epping on T9; and up to Belmore for separated freight on T3), meaning express running on all main lines for outer-suburban, interurban and intercity trains was simple and easy. Whereas Melbourne only developed triple (3 tracks) into the middle suburbs - and even then only on 3 main lines (Frankstone line to Moorabin along with quad track from South Yarra to Caulfield; Lilydale/Belgrave line to Box Hill; Werribee line from Newport to Werribee). Track speeds within Metro Melbourne are limited to 80kmh where Sydney has many lines with decent track sections of up to 100-115kmh. What this all means is Sydney has regular and (relatively) fast express trains allowing you to get from places 20-30km away from the city like Sutherland, Blacktown, Revesby or Hornsby into the city consistently quicker than equivalent areas in Melbourne, with more flexibility to handle disruptions - and many of these journeys will be shortened further when Sydney Metro opens. What this also allows Sydney to do is split inner and outer sections of lines to run different services: on top of the conversion of the whole T3 to Metro, the inner sections of the T2 T4 T8 and T9 may eventually see a similar conversion to rapid transit with high-capacity high-frequency operations at all inner stops, with suburban inter-urban and intercity services focused purely on the middle and outer suburbs. Melbourne cannot do this without building new lines. Melbourne's trams really aren't that special in performance terms; of the 7 busiest routes in Melbourne (3, 11, 59, 75, 86, 96 and 109) only Route 96, a former heavy rail line, comes close to the L2 & L3 in Sydney in terms of patronage/km or patronage/stop, and all Melbourne lines have slow average speeds (15-18kmh) even outside the city area with many shared traffic sections causing trams to get stuck in traffic, while not many stops have level boarding & disability access. Where Melbourne does have an advantage is coverage, there are no major areas of the city as poorly covered by heavy or light rail in Melbourne as in Sydney (Northern Beaches, SE suburbs, outer SW around Bonnyrigg and Wetherill Park) except perhaps Doncaster (which is planned to be linked with Suburban Rail Loop). Another advantage for Melbourne is being able to run its 3 main regional services (Ballarat, Bendigo and Geelong lines) on the one Regional Rail Link direct and at quite high speeds, whereas all Sydney's regional trains split up quite close to the city and have comparatively slow speeds, hence why NSW was doing planning on an entirely new High Speed Rail network to Newcastle, Wollongong, Canberra/Southern Highlands and Bathurst/Orange - which again would be difficult to implement without expensive city access lines to meet at Parramatta or Olympic Park."
2,public_transport_and_rail_infrastructure,0.9947909722079238,transport_infrastructure,"The Comprehensive ""Metro"" Network of Melbourne","I think Melbourne and Victoria could have a almost perfect transit network if some things are added alongside exisiting projects - Exisiting trains bottlenecks like flat junctions, signalling and single tracks are fixed and install high capacity signalling - Trains run 10 minutes or better thought the day until the last train - Every tram route is upgraded similar to route 96 (plus add on traffic priority extensively) and run it at least 10 minutes. Also fill trams gaps and make all trams run low floor - Extensive bus reforms , bus priority like lanes and lights and ensure Major bus routes run 10 minutes , heavily used locals run 20 minutes and the rest 40 minutes and almost all bus routes must harmonise - Create a regional Faster Rail by separating all Metro trains away from Vline and freight services by Standardising all tracks in Victoria (besides Metro Trains) , Quad tracking the Pakenham line, reinstate new dedicated tracks between City to Sunshine ,expand the scope of the Airport rail link (remove it from the Metro Tunnel) to connect Bendigo and Northern eastern lines and electrify all regional rails and possibly create a dedicated Metropolitan express train - Reopen some closed regional lines and make a standard for all regional services (trains or coaches) to run at least 5 services every day and harmonise with trains through a Swiss Style timetable through Victoria - Remove every level crossings in Melbourne including pedestrians - Build Metro 2 - Extend Metro trains to Doncaster, Rowville, Wollert, Clyde, Baxter, Melton and Wyndham Vale - Consider Building a completely new light Metro in the long term. My proposal are 1) Ringwood to Frankston 2) Rowville to Airport via Ormond, Fisherman's Bend, and Highpoint 3) Broadmeadows to Monash via Chadstone, the Alamein Line, Richmond, Bourke St, Fishermans Bend and finally utilizing the Newport-Broadmeadows freight line 4) Sunshine to La Trobe Uni via Highpoint, Brunswick, and Northland - New BRT and LRT (other from the exisiting tram Networks) - East Coast High Speed Rail - Metropolitan style trains (at a smaller scale) for Geelong, Latrobe Valley, Bendigo and Ballarat - Bike Lanes and walking paths everywhere and connected"
2,public_transport_and_rail_infrastructure,0.9941283889226867,transport_infrastructure,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),"Quad track will be completed on the T1 Northern Line in the next few years between Strathfield and Epping and triplication between Epping and Hornsby as the next stage of the Northern Sydney Freight Corridor program, which is jointly funded by the State and Federal governments. In the longer term, it is proposed to complete the full quad between Strathfield and Hornsby. This will allow greater flexibility for all stations suburban services to be separated from semi-express suburban, express intercity, long distance regional and freight services. Similarly, other long term proposals are to extend the existing quad track on the T1 Western Line from St Marys to Penrith and on the T4 Illawarra Line from Hurstville to Sutherland. Other major infrastructure upgrades which are worthy of consideration are extending the quad on the T8 East Hills Line from Revesby to Glenfield; quadding the T8 South Line from Glenfield to Macarthur, which includes the existing Southern Sydney Freight Line; and notwithstanding Metro West, sextuplication of the T1 Western Line between Homebush and Granville to allow more suburban and intercity express services from the outer west to run through to Sydney Terminal (Central) on the underutilised Main tracks without the need to interchange to Metro West. The digital signalling and ATO upgrades, which don't get much publicity, will allow for higher frequencies up to 24 trains/hr per line and faster journey times. I think it's unlikely that there will be any further metro conversions of existing suburban lines, although compatible single deck suburban trains could potentially operate at higher frequencies on the inner suburban lines at far less cost and disruption to services compared with a conversion. This was proposed prior to the separate metro network coming onto the scene. Proposed future inner suburban cross regional links, fully segregated from the existing suburban network, would be more appropriate as metro lines, including a potential rail link to the Northern Beaches. The Minns' government cancelled the Regional HSR project as it is too expensive and beyond the State government's resources. The best we could hope for is incremental upgrades to the existing lines with curve easing and limited realignments to allow for higher average speeds and a reduction in journey times. This could be helped with Federal funding once they realise that a HSR line from Brisbane to Melbourne isn't viable in the Australian context and instead shift their focus to upgrading the existing regional and interstate network to Medium Speed Rail standard (200km/h)."
2,public_transport_and_rail_infrastructure,0.9892469794706169,transport_infrastructure,"The Comprehensive ""Metro"" Network of Melbourne","@jdillon8360 The Burnley and Northern loops still reverse direction. The reason for the reverse of direction is largely historic, but there were two reasons: 1) Most of the trains arriving at Flinders Street in the morning were from the east, then had to reverse into the face of following arrivals to stable in the Jolimont yards. And the reverse in the afternoon. 2) One of the problems was the capacity of Flinders Street to handle the number of passengers. If trains arrived at Flinders Street in the morning, then around the loop, or came around the loop to Flinders Street in the afternoon to then run to the ends of the lines, they expected that most passengers would still use Flinders Street, so the problem would not be solved. So it was basically to force passengers to consider using a different station. In the afternoon, the only way to get from Parliament to Richmond, without going right around the loop, is to catch a Burnley Loop train. If the Burnley Loop was altered to run anti-clockwise all day, a lot of passengers would be disadvantaged. If it was altered to run clockwise all day, there would be no way to get directly from Flagstaff to Southern Cross in the morning. Things like probably will change eventually, but there are complexities to those decisions that most don't appreciate."
2,public_transport_and_rail_infrastructure,0.9888372877233491,transport_infrastructure,"The Comprehensive ""Metro"" Network of Melbourne","@jdillon8360 the reason is more historical than anything. Its just always been that way since the beginning. The reason the City Circle does not reverse anymore was because going anti-clockwise around that tunnel forces everything across a single flat junction at Jolimont in both directions which created a lot of conflict and severely limited capacity on the Clifton Hill group. In terms of the Caulfield loop, there are two reason why this loop now always runs anticlockwise. The first is because the Selective Door Opening Beacons have only been installed in one direction. An HCMT running the reverse direction cannot release its doors at any loop station. The second reason (and in my own opinion the most useful) is that it allows a direct connection from the Loop into Southern Cross and Flinders Street stations. Until the Caulfield Loop was fixed in one direction, you could not get to those two stations from the loop in the PM Peak without first leaving the loop to North Melbourne, Richmond or Jolimont and then changing trains. This was especially a problem for anyone trying to connect to a regional train at Southern Cross, especially now that VLines ridership is quite high now. This also put enormous pressure on the Trams heading towards Spencer St for the same reason."
2,public_transport_and_rail_infrastructure,0.9886862629462055,transport_infrastructure,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),"my take away from this video is that Sydneys public transport is good and Melbourne is trash, but I prefer how simple it is go from one station to another, because if I take my closest station to Flinders, I definitely know I should be on the train going to Flinders, even if it means it takes like one hour and stopping all stops, it will already be one hour by car so whats the point, if you look at the train stations being next to shopping centres, Melbourne Central SC has a built in direct access to the Melbourne Central Station, Box Hill is similar, if you look up north, Broadmeadows is the same, even Roxbourugh Park and Westfield Plenty Valley, and Epping Plaza is a simple and easy walk from Epping Station, and down south, Frankston Station is next to Bayside Centre, south east, Pakenham is near Pakenhams sc etc; which can be similar to Sydney, I am just adding extra train station stops thats close/next to or exactly at the station"
2,public_transport_and_rail_infrastructure,0.985982632701268,transport_infrastructure,"The Comprehensive ""Metro"" Network of Melbourne","The weakness of Melbourne's system that doesn't come out in this video is how spread out it is, which means that at the outer extremities where the population growth is, you are rarely very close to a station. As these locations are beyond the spread of the tram network and bus services are poorly planned and infrequent, they become heavily car-dependent. And Mellbourne is still very city-centred compared to Toronto and Sydney, hence the radial network. Infrastructure like the Suburban Rail Loop (which is far from an outer-suburb service) will need a big improvement to bus services to be useful because its stations will be few and far between. We are going to need improvements such as extending the Cranbourne line to Clyde, electrifying the lines to Melton and Tarneit, and the Geelong fast rail to free up capacity on the western suburbs. Improvement to existing services in strategic areas could give better bang for buck than the high-profile vote-winning expansion projects."
2,public_transport_and_rail_infrastructure,0.9859719514463783,transport_infrastructure,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),"@tobyb6248 Sydney trains have 3 different deck heights, therefore triple deck. It's obvious. Calling it a double decker is a good example of group stupidity. You also need to look up the definition of a metro. A metro is a high-capacity public transportation system that's usually built in urban areas. It's also known as a subway, tube, or underground therefore Melbourne has a Metro , the city loop is part of it. You clearly don't travel on triple deck trains, I do and have for over 60 years. Only people traveling one or 2 stops choose to stand or those clogging up the doorways with bikes. The Sydney metro supporter claim of lower cost of automation is questionable, as you need to maintain all the extra platform doors on every station and extra trains compared to using tripe deck trains."
3,cost_of_living_rent_and_household_pressure,0.9844667519689174,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"​​​@jannettyskettyYou are not being honest. But it's okay, I get it, you have this incessant, need to be correct. Saying that, you spend a hundred dollars a year in clothing and shoes, sure... I live in the land of reality. And I also took a look at some of the websites that people are mentioning, that are saying they spend less than a hundred bucks a year. Yeah....you are not being hoooonest!! The only people that I have ever known to be able to spend that little, are a couple of friends of mine who make their own clothes. I'm usually good at pin pointing BS. Just to get a quality pair of shoes that are not going to hurt your feet, or cause issues later, you are going to spend up a majority of your so-called 100 dollar yearly budget. Please quit trying to BS people. And you're completely twisting anything that anyone has said in this thread. Nobody said they were spending money every single month to replace their wardrobe. Right there is part of why I don't believe you..."
3,cost_of_living_rent_and_household_pressure,0.9832095345023935,liveability_general,What Is Livability? A Field Report from Melbourne,"@galaxyfarrahway To start with, when crossing any intersection put your phone in your pocket and look at oncoming traffic.. We had a television add campain back in the 1970s, look to the left, look to the right and look to the left again, and when you know the road is clear of traffic walk straight across the road, dont run, walk straight across the road. People today walk across the road without looking at the road but are looking at their phones, if you are nearly getting hit by a car its because you arent looking at the oncoming traffic. Its that simple. Take responsibility for yourself first, dont rely on what you perceive as the order of things or rules that are expected to be adhered to. Not everything goes as planned, if you look to your right getting on atram you will never be hit, look to your left getting off."
3,cost_of_living_rent_and_household_pressure,0.9828164032973279,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"I thought I had misunderstood their total income. $180,000.00 a year and they can't put food on the table? Here in the USA, I am retired with $1,375.00 SS benefits per month. My car is 8 years old. I never eat out and cook all my meals from scratch. I can't remember the last time I bought clothes or shoes. I take care of my stuff and everything lasts very well. My kitchen is filled with appliances...that are years old, even though they look new. In the winter, I wear a sweater. In the summer (Arizona here), I use fans. My HVAC is only used a few hours a year. And I have 2 cats to take care off. I never go on vacation but enjoy bicycle and motorcycle rides. I don't miss anything and don't wish I had more. So, to hear folks with real good money complain is actually insulting to the very poor and hurt people out in the real world."
3,cost_of_living_rent_and_household_pressure,0.9790240017480135,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"​@jannettysketty I don't buy things constantly either. I can't even wear Sketchers on my feet. I wish that I could. But if I did, I would have worse issues with my legs, then what I already have. I'm just being realistic here. The second hand stores around in my area, are hit and miss. You may get lucky and find something, and then it could be a long time before you do the next time. I don't buy cheap things from Temu, frankly because I don't trust the website. But I most certainly do not buy high dollar/high end brand clothing either. Levi's have always been my favorite jeans. But I don't even buy those brand new. I get them at Plato's Closet."
3,cost_of_living_rent_and_household_pressure,0.9752584871060174,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,High income earners tend to spend a lot too - their expenses are high and they run the risk of carrying high debts (it’s the same scenario in my country) have to spend time to ask yourself is it more important to look good in image or look good in your bank account and be quietly luxurious (use no brand name clothes with good quality and don’t change clothes just to follow trend) My local banks say budgeting for clothes is like $100 per month at most
3,cost_of_living_rent_and_household_pressure,0.9746241786158437,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"@bhumphries1360 hello. I’m female and earn $320k a year here in Brisbane. I haven’t spent $100 on clothes in an entire year for a loooong time. Unless you’re a tradie, your clothes last forever. No one is wearing holes in their clothes! Also, despite my very high income, I shop on Depop (second hand clothing ap) and in op shops. I even buy my pajamas and gym clothes second hand. These people have money management problems, not income or cost of living problems."
3,cost_of_living_rent_and_household_pressure,0.9745982373284349,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"@troyonplanet yeap 100 percent , intreasted to see whats in the carport ie two cars are they owned or in debt for , so many folk cant help but spend 1.20 for every 1 they make and than when theres a road bump they dont know how or what to do , i came from no thrills low 1 income family growing up and we never went without just done things dirrentlhy and it held me in good stead in life to the point i stopped working at 38 , not because i earned millions but because you dont keep updateing and upgrading things and just spend less than what you earn , i still run with an iphone 6s because it still dose updates and apart from a sub standered cam can do most things . my dad always said buy time not iteams"
3,cost_of_living_rent_and_household_pressure,0.9737406909834068,cost_housing,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,"@jannettysketty I’m in construction law. I earn $320k a year here in Brisbane. It’s been decades since I’ve spent $100 A YEAR on clothes. Clothes don’t wear out. And Depop, which is a second hand clothing ap, sells really high quality clothes very cheaply. So do Op shops. Yeah, I work in the Eagle Street precinct (law firm precinct of Brisbane) and I dress very well. But i would find it extremely difficult to spend $100 a month of clothes. That’s just an extraordinary claim."
4,argumentative_city_identity_debate,0.9718100936568596,city_comparison,Sydney and Melbourne Compared,Here’s some suggestions that I haven’t already seen in the comments so far Saint Louis vs Kansas City Tokyo vs Seoul Seattle vs Vancouver New York vs Hong Kong Geneva vs Zurich Moscow vs St. Petersburg Dallas vs Houston Montreal vs Paris Chicago vs Toronto Tokyo vs Osaka
4,argumentative_city_identity_debate,0.958288152437961,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide","​ @stuartfarrow2338 YES!!!!!!!!!!!!!! of COURSE, don't like ? = Then leave and don't come back!!! As IF HUMAN even wanna Live Here.🇦🇺🇦🇺🇦🇺 Xcept ur 0WN K!ND & OH! B.Convicts🇬🇧🇬🇧🇬🇧🇬🇧💂‍♂💂‍♀💂‍♀"
4,argumentative_city_identity_debate,0.9561003191584517,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",​ @stuartfarrow2338 YES!!!!!! Of COURSE!!!!!!!! Don't like ? = then Leave and don't come back!!! AS IF Human even wanna Live HERE.🇦🇺🇦🇺🇦🇺 Xcept ur OWN K!ND !!!!!! (BC.victs🇬🇧🇬🇧🇬🇧💂💂‍♂💂‍♀)
4,argumentative_city_identity_debate,0.9560980912938176,city_comparison,Sydney and Melbourne Compared,Other suggestions for you to try: Singapore vs Hong Kong Beijing vs Shanghai Delhi vs Mumbai Hanoi vs HCMC Harbin vs Shenyang Toronto vs Montreal JoBurg vs Cape Town Madrid vs Barcelona
4,argumentative_city_identity_debate,0.9536519361354319,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",@stuartfarrow2338 of COURSE!!! YES!!!!!!!!!!! Don't like = then LEAVE & don't Come back!!! as IF HUMAN even wanna Live HERE.🇦🇺🇦🇺🇦🇺 nowadayys Xcept B.CONVICTS🇬🇧🇬🇧🇬🇧🇬🇧💂‍♂💂‍♀💂 😂🤣😆🤣😂🤢
4,argumentative_city_identity_debate,0.9536519361354319,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",​ @stuartfarrow2338 YES!!!!! of COURSE!!!!!!!! Don't like ? then Leave and don't come back!!!!!!!!! AS IF HUMAN even wanna live HERE.🇦🇺🇦🇺🇦🇺 Xcept B.! CONVICTS🇬🇧🇬🇧🇬🇧💂💂‍♂💂‍♀🤢🤭
4,argumentative_city_identity_debate,0.9532590075132196,other,LIVING IN SYDNEY VS MELBOURNE AUSTRALIA: Lifestyle Comparison,@NoTaboos It takes a certain kind of loser to not be satisfied with the good things they have and feel the need to shit on everyone else. It takes a REALLY special sort of loser to make up nonsense to back themselves up. I have no doubt you'd vote for Trump if you lived in the US. There's obviously a strong kinship.
4,argumentative_city_identity_debate,0.9507592011750187,city_comparison,Sydney and Melbourne Compared,@Ivanskiin12 i know about other cultures but not every culture and country and i doubt that u know. I learn enough in school already and i world rathet not waste My freetime learning about things that i DO not need Ever in life and im not interested in. In this case cricket.
5,creator_audience_conversational_replies,0.9789511244249474,transport_infrastructure,"The Comprehensive ""Metro"" Network of Melbourne","@xr6lad common sense relies rather heavily on having the relevant information presented to you in the right way. It can be very straight forward and easily understood when you're standing there with the signs and orientated to the landmarks and only having to worry about the parts that are relevant to your trip while still being a confusing mess when taken in it's totality with only maps and reports to go from. Also? Plenty of millenials (now in their thirties, mind you) have common sense. Plenty of Gen-X and boomers are ignorante and oblivious idiots. The reverse is also true. It's not a generational thing at all. Not only is common sense not so common, but an awful lot of people can't tell it from ""thing I've had time to get used to, and thus have already learned, while the other person hasn't."""
5,creator_audience_conversational_replies,0.9760869965883582,cost_housing,Why Melbourne Feels Different Than Sydney,"Hi Lydia, We are so glad to hear that the femicide history was interesting. We didn't want to be Debbie Downers, but we thought it was a thought provoking bit of street art that we appreciated learning about. We currently are in Nelson, New Zealand. It's a bit slower paced, so we're using it as a place to catch our breath before we head to Queenstown in the New Year. We wish you a very happy Christmas and New Year's as well! —Judy"
5,creator_audience_conversational_replies,0.9753543196676757,cost_housing,Why Melbourne Feels Different Than Sydney,"Hi Peter, It would have been more expensive had we rented a car or done more touring. But we knew we'd have some faster travel in New Zealand because there was a lot we wanted to see, and adding in Hobart where we did a lot of activities, we felt Melbourne could stand on its own (especially with such unpredictable weather we had). We had such a great time. Thanks for watching and have a great Christmas and New Year's! —Judy"
5,creator_audience_conversational_replies,0.9678146725080344,cost_housing,Why Melbourne Feels Different Than Sydney,"Hi @Alistarc1969 Thank you so much for watching! While the rain impeded some things we wanted to do, we still had a great time! And while it's possible to find good coffee in the US, you really have to look for it, and not all the baristas are as consistently good as we had in Melbourne. We loved our time in Tassie and we just released a video from there! SE Asia is in another week or so after we finish with New Zealand! —Judy"
5,creator_audience_conversational_replies,0.9676639700090282,cost_housing,Why Melbourne Feels Different Than Sydney,"Hi Peter, We felt like Phillip Island and the penguin parade probably didn't need us talking about it and potentially bringing even more tourists to a place where penguins just want to do their own thing. And the rain did play a small part in that decision as well. Thanks for watching! —Judy"
